+---------------------------------------+------+------+--------------------------------+----------+
| NOTE: The Block ID is for very specific low-level purposes only!                                |
| It WILL be different in every world since Minecraft 1.7,                                        |
| because they are dynamically allocated by the game!                                             |
+---------------------------------------+------+------+--------------------------------+----------+
| Registry name                         |   ID | meta | Display name                   |    Count |
| minecraft:lever                       |   69 |   14 | Lever                          |        1 |
| minecraft:lever                       |   69 |   15 | Lever                          |        2 |
| minecraft:lit_furnace                 |   62 |    3 | minecraft:lit_furnace          |        1 |
| minecraft:lit_furnace                 |   62 |    5 | minecraft:lit_furnace          |        1 |
| minecraft:lit_pumpkin                 |   91 |    1 | Jack o'Lantern                 |        1 |
| minecraft:lit_redstone_lamp           |  124 |    0 | minecraft:lit_redstone_lamp    |        9 |
| minecraft:lit_redstone_ore            |   74 |    0 | minecraft:lit_redstone_ore     |        3 |
| minecraft:log                         |   17 |    0 | Oak Wood                       |     7730 |
| minecraft:log                         |   17 |    1 | Spruce Wood                    |      966 |
| minecraft:log                         |   17 |    2 | Birch Wood                     |     1933 |
| minecraft:log                         |   17 |    3 | Jungle Wood                    |     1145 |
| minecraft:log                         |   17 |    4 | Oak Wood                       |      544 |
| minecraft:log                         |   17 |    5 | Spruce Wood                    |       16 |
| minecraft:log                         |   17 |    8 | Oak Wood                       |      376 |
| minecraft:log                         |   17 |    9 | Spruce Wood                    |       44 |
| minecraft:log                         |   17 |   11 | Jungle Wood                    |        2 |
| minecraft:log2                        |  162 |    1 | Dark Oak Wood                  |      501 |
| minecraft:log2                        |  162 |    5 | Dark Oak Wood                  |       60 |
| minecraft:log2                        |  162 |    9 | Dark Oak Wood                  |       56 |
| minecraft:magma                       |  213 |    0 | Magma Block                    |      661 |
| minecraft:melon_block                 |  103 |    0 | Melon                          |       14 |
| minecraft:melon_stem                  |  105 |    0 | minecraft:melon_stem           |        2 |
| minecraft:mob_spawner                 |   52 |    0 | Monster Spawner                |      181 |
| minecraft:monster_egg                 |   97 |    0 | Stone Monster Egg              |     7461 |
| minecraft:monster_egg                 |   97 |    1 | Stone Monster Egg              |      420 |
| minecraft:monster_egg                 |   97 |    2 | Stone Monster Egg              |      385 |
| minecraft:monster_egg                 |   97 |    3 | Stone Monster Egg              |      417 |
| minecraft:monster_egg                 |   97 |    4 | Stone Monster Egg              |      425 |
| minecraft:mossy_cobblestone           |   48 |    0 | Moss Stone                     |    11610 |
| minecraft:mycelium                    |  110 |    0 | Mycelium                       |      285 |
| minecraft:nether_brick                |  112 |    0 | Nether Brick                   |    14728 |
| minecraft:nether_brick_fence          |  113 |    0 | Nether Brick Fence             |      198 |
| minecraft:nether_brick_stairs         |  114 |    0 | Nether Brick Stairs            |       94 |
| minecraft:nether_brick_stairs         |  114 |    1 | Nether Brick Stairs            |       94 |
| minecraft:nether_brick_stairs         |  114 |    2 | Nether Brick Stairs            |       71 |
| minecraft:nether_brick_stairs         |  114 |    3 | Nether Brick Stairs            |       72 |
| minecraft:nether_brick_stairs         |  114 |    4 | Nether Brick Stairs            |      375 |
| minecraft:nether_brick_stairs         |  114 |    5 | Nether Brick Stairs            |      383 |
| minecraft:nether_brick_stairs         |  114 |    6 | Nether Brick Stairs            |      440 |
| minecraft:nether_brick_stairs         |  114 |    7 | Nether Brick Stairs            |      420 |
| minecraft:nether_wart                 |  115 |    0 | minecraft:nether_wart          |       47 |
| minecraft:nether_wart                 |  115 |    1 | minecraft:nether_wart          |        2 |
| minecraft:nether_wart_block           |  214 |    0 | Nether Wart Block              |      443 |
| minecraft:netherrack                  |   87 |    0 | Netherrack                     |     1384 |
| minecraft:noteblock                   |   25 |    0 | Note Block                     |        4 |
| minecraft:oak_stairs                  |   53 |    0 | Oak Wood Stairs                |       19 |
| minecraft:oak_stairs                  |   53 |    1 | Oak Wood Stairs                |       49 |
| minecraft:oak_stairs                  |   53 |    2 | Oak Wood Stairs                |       52 |
| minecraft:oak_stairs                  |   53 |    3 | Oak Wood Stairs                |       60 |
| minecraft:oak_stairs                  |   53 |    4 | Oak Wood Stairs                |       89 |
| minecraft:oak_stairs                  |   53 |    5 | Oak Wood Stairs                |       74 |
| minecraft:oak_stairs                  |   53 |    6 | Oak Wood Stairs                |       96 |
| minecraft:oak_stairs                  |   53 |    7 | Oak Wood Stairs                |      103 |
| minecraft:observer                    |  218 |    2 | Observer                       |        1 |
| minecraft:observer                    |  218 |    3 | Observer                       |        1 |
| minecraft:observer                    |  218 |    4 | Observer                       |        1 |
| minecraft:observer                    |  218 |    5 | Observer                       |        1 |
| minecraft:obsidian                    |   49 |    0 | Obsidian                       |     4133 |
| minecraft:planks                      |    5 |    0 | Oak Wood Planks                |     1173 |
| minecraft:planks                      |    5 |    1 | Spruce Wood Planks             |     1803 |
| minecraft:planks                      |    5 |    2 | Birch Wood Planks              |      246 |
| minecraft:planks                      |    5 |    5 | Dark Oak Wood Planks           |      696 |
| minecraft:potatoes                    |  142 |    0 | minecraft:potatoes             |        2 |
| minecraft:powered_repeater            |   94 |   13 | minecraft:powered_repeater     |        1 |
| minecraft:pumpkin                     |   86 |    1 | Pumpkin                        |        3 |
| minecraft:pumpkin                     |   86 |    2 | Pumpkin                        |        2 |
| minecraft:pumpkin                     |   86 |    3 | Pumpkin                        |        3 |
| minecraft:pumpkin_stem                |  104 |    0 | minecraft:pumpkin_stem         |        2 |
